Components,description,number,unit prices,total prices,description,url
E28-2G4M27SX JKS,SX1280 with antenne,1,9.19,9.19,E28-2G4M27SX JKS,https://fr.aliexpress.com/item/1005004832671001.html?spm=a2g0o.cart.0.0.509f378dxl8l0O&mp=1&pdp_npi=6%40dis%21EUR%21EUR%2010.21%21EUR%209.19%21%21EUR%208.76%21%21%21%402103834817733368593473329e3d51%2112000045666017364%21ct%21FR%216543932841%21%211%210%21&gatewayAdapt=glo2fra
Module Buck-Boost 3.3v,a 3.3v regulator,1,2.65,2.65,3.3v,https://fr.aliexpress.com/item/1005011637436564.html?spm=a2g0o.cart.0.0.509f378dxl8l0O&mp=1&pdp_npi=6%40dis%21EUR%21EUR%205.63%21EUR%202.65%21%21EUR%202.50%21%21%21%402103834817733368593473329e3d51%2112000056121729483%21ct%21FR%216543932841%21%211%210%21&gatewayAdapt=glo2fra
Fan 40x40x20mm,For the the SX1280,1,2.43,2.43,4020,https://fr.aliexpress.com/item/1005006306536871.html?spm=a2g0o.cart.0.0.509f378dxl8l0O&mp=1&pdp_npi=6%40dis%21EUR%21EUR%202.43%21EUR%202.43%21%21EUR%202.20%21%21%21%402103834817733368593473329e3d51%2112000036695416024%21ct%21FR%216543932841%21%211%210%21&gatewayAdapt=glo2fra
"Screen TFT 1.8""",A little screen,1,2.80,2.80,-,https://fr.aliexpress.com/item/1005006139989470.html?spm=a2g0o.cart.0.0.509f378dxl8l0O&mp=1&pdp_npi=6%40dis%21EUR%21EUR%202.80%21EUR%202.80%21%21EUR%202.67%21%21%21%402103834817733368593473329e3d51%2112000047162642428%21ct%21FR%216543932841%21%211%210%21&gatewayAdapt=glo2fra
ESP32 devkit C,Brain,1,4.49,4.49,30pin Type C,https://fr.aliexpress.com/item/1005006456519790.html?spm=a2g0o.cart.0.0.509f378dxl8l0O&mp=1&pdp_npi=6%40dis%21EUR%21EUR%2013.19%21EUR%204.49%21%21EUR%204.23%21%21%21%402103834817733368593473329e3d51%2112000037265317361%21ct%21FR%216543932841%21%211%210%21&gatewayAdapt=glo2fra
3 position switch,switch,1 set of 5,2.62,2.62,MTS-103,https://fr.aliexpress.com/item/1005006346449714.html?spm=a2g0o.cart.0.0.220a378ds2yqkm&mp=1&pdp_npi=6%40dis%21EUR%21EUR%202.62%21EUR%202.62%21%21EUR%202.39%21%21%21%402103834817733374277258919e3d51%2112000036838712722%21ct%21FR%216543932841%21%211%210%21&gatewayAdapt=glo2fra
Total,-,-,-,24.18,-,-
Components I already have,-,-,-,-,-,-
battery,1s lipo battery,1,-,-,-,-
lipo charger,1s charger,-,-,-,-,-


